# batch      rmse_tst    rmse_trn    rmse_e_tst  rmse_e_trn    rmse_f_tst  rmse_f_trn         lr
   1300      5.84e+00    5.78e+00      3.58e-02    3.56e-02      1.85e-01    1.83e-01    1.0e-03
   1400      5.90e+00    5.64e+00      1.31e-02    1.19e-02      1.87e-01    1.78e-01    1.0e-03
   1500      5.52e+00    5.66e+00      3.31e-02    3.06e-02      1.75e-01    1.79e-01    1.0e-03
   1600      5.51e+00    5.09e+00      2.10e-02    1.91e-02      1.74e-01    1.61e-01    1.0e-03
   1700      6.13e+00    6.06e+00      2.16e-03    1.96e-03      1.94e-01    1.92e-01    1.0e-03
   1800      5.03e+00    4.90e+00      9.82e-03    8.39e-03      1.59e-01    1.55e-01    1.0e-03
   1900      5.96e+00    5.44e+00      2.22e-02    2.43e-02      1.88e-01    1.72e-01    1.0e-03
   2000      4.87e+00    4.66e+00      4.27e-03    1.58e-03      1.54e-01    1.47e-01    1.0e-03
   2100      4.88e+00    4.66e+00      6.83e-03    6.23e-03      1.54e-01    1.47e-01    1.0e-03
   2200      4.76e+00    4.64e+00      3.71e-02    3.76e-02      1.51e-01    1.47e-01    1.0e-03
   2300      4.67e+00    4.56e+00      1.88e-02    2.09e-02      1.48e-01    1.44e-01    1.0e-03
   2400      4.72e+00    4.88e+00      8.15e-03    8.36e-03      1.49e-01    1.54e-01    1.0e-03
   2500      4.50e+00    4.50e+00      7.40e-02    7.49e-02      1.42e-01    1.42e-01    1.0e-03
   2600      4.46e+00    3.79e+00      1.49e-02    1.57e-02      1.41e-01    1.20e-01    1.0e-03
   2700      4.52e+00    3.98e+00      1.74e-03    1.48e-03      1.43e-01    1.26e-01    1.0e-03
   2800      4.33e+00    4.18e+00      2.34e-02    2.53e-02      1.37e-01    1.32e-01    1.0e-03
   2900      4.60e+00    4.70e+00      3.03e-02    3.04e-02      1.45e-01    1.49e-01    1.0e-03
   3000      4.64e+00    4.36e+00      1.44e-02    1.54e-02      1.47e-01    1.38e-01    1.0e-03
   3100      4.16e+00    4.18e+00      1.10e-02    8.67e-03      1.31e-01    1.32e-01    1.0e-03
   3200      5.61e+00    5.41e+00      3.06e-02    2.77e-02      1.78e-01    1.71e-01    1.0e-03
   3300      4.24e+00    4.77e+00      1.09e-02    1.05e-02      1.34e-01    1.51e-01    1.0e-03
   3400      4.07e+00    3.65e+00      2.87e-03    2.64e-03      1.29e-01    1.15e-01    1.0e-03
   3500      4.11e+00    3.87e+00      2.84e-02    2.96e-02      1.30e-01    1.22e-01    1.0e-03
   3600      4.67e+00    4.35e+00      2.36e-02    2.18e-02      1.48e-01    1.38e-01    1.0e-03
   3700      4.44e+00    3.80e+00      2.69e-02    2.69e-02      1.40e-01    1.20e-01    1.0e-03
   3800      4.16e+00    3.86e+00      1.38e-02    1.22e-02      1.32e-01    1.22e-01    1.0e-03
   3900      4.03e+00    3.96e+00      3.40e-02    3.40e-02      1.28e-01    1.25e-01    1.0e-03
   4000      3.92e+00    3.59e+00      2.51e-02    2.61e-02      1.24e-01    1.14e-01    1.0e-03
   4100      3.98e+00    3.65e+00      3.73e-02    3.84e-02      1.26e-01    1.15e-01    1.0e-03
   4200      4.21e+00    3.98e+00      2.65e-02    2.42e-02      1.33e-01    1.26e-01    1.0e-03
   4300      3.91e+00    3.97e+00      2.65e-03    8.95e-04      1.24e-01    1.26e-01    1.0e-03
   4400      3.73e+00    3.88e+00      1.67e-02    1.60e-02      1.18e-01    1.23e-01    1.0e-03
   4500      3.89e+00    3.80e+00      6.66e-03    7.34e-03      1.23e-01    1.20e-01    1.0e-03
   4600      3.68e+00    3.61e+00      1.93e-02    2.05e-02      1.16e-01    1.14e-01    1.0e-03
   4700      4.32e+00    3.78e+00      1.78e-02    1.81e-02      1.36e-01    1.20e-01    1.0e-03
   4800      4.15e+00    3.99e+00      1.04e-02    1.13e-02      1.31e-01    1.26e-01    1.0e-03
   4900      3.65e+00    3.56e+00      1.13e-02    1.02e-02      1.15e-01    1.12e-01    1.0e-03
   5000      3.53e+00    3.48e+00      1.88e-02    2.01e-02      1.15e-01    1.13e-01    9.5e-04
   5100      3.63e+00    3.59e+00      2.19e-02    2.19e-02      1.18e-01    1.16e-01    9.5e-04
   5200      3.47e+00    3.38e+00      5.01e-02    5.12e-02      1.12e-01    1.10e-01    9.5e-04
   5300      3.43e+00    3.38e+00      2.32e-02    2.11e-02      1.11e-01    1.10e-01    9.5e-04
   5400      3.51e+00    3.55e+00      1.58e-02    1.40e-02      1.14e-01    1.15e-01    9.5e-04
   5500      3.76e+00    4.03e+00      7.60e-03    7.42e-03      1.22e-01    1.31e-01    9.5e-04
   5600      3.29e+00    3.23e+00      4.28e-03    3.34e-03      1.07e-01    1.05e-01    9.5e-04
   5700      3.32e+00    3.22e+00      3.99e-02    4.07e-02      1.08e-01    1.04e-01    9.5e-04
   5800      3.47e+00    3.25e+00      4.08e-03    4.50e-03      1.13e-01    1.05e-01    9.5e-04
   5900      3.52e+00    3.16e+00      2.77e-03    1.45e-03      1.14e-01    1.02e-01    9.5e-04
   6000      3.26e+00    3.26e+00      7.90e-03    7.08e-03      1.06e-01    1.06e-01    9.5e-04
   6100      3.20e+00    3.41e+00      2.32e-02    2.19e-02      1.04e-01    1.11e-01    9.5e-04
   6200      3.40e+00    3.00e+00      4.84e-02    4.91e-02      1.10e-01    9.72e-02    9.5e-04
   6300      3.11e+00    3.00e+00      1.01e-02    9.48e-03      1.01e-01    9.72e-02    9.5e-04
   6400      3.56e+00    3.45e+00      5.83e-02    5.83e-02      1.15e-01    1.12e-01    9.5e-04
   6500      3.06e+00    3.20e+00      1.34e-02    1.48e-02      9.93e-02    1.04e-01    9.5e-04
   6600      3.03e+00    3.00e+00      3.34e-02    3.29e-02      9.82e-02    9.72e-02    9.5e-04
   6700      2.91e+00    3.04e+00      4.22e-03    2.83e-03      9.43e-02    9.85e-02    9.5e-04
   6800      3.11e+00    2.87e+00      1.35e-02    1.33e-02      1.01e-01    9.31e-02    9.5e-04
   6900      3.41e+00    3.30e+00      1.24e-02    1.25e-02      1.10e-01    1.07e-01    9.5e-04
   7000      2.79e+00    2.55e+00      3.45e-02    3.54e-02      9.05e-02    8.25e-02    9.5e-04
   7100      3.28e+00    3.45e+00      2.45e-02    2.45e-02      1.06e-01    1.12e-01    9.5e-04
   7200      3.45e+00    3.33e+00      3.13e-02    3.06e-02      1.12e-01    1.08e-01    9.5e-04
   7300      2.78e+00    2.38e+00      3.41e-02    3.45e-02      9.02e-02    7.70e-02    9.5e-04
   7400      3.56e+00    3.42e+00      2.22e-02    2.34e-02      1.15e-01    1.11e-01    9.5e-04
   7500      2.77e+00    2.72e+00      4.42e-02    4.48e-02      8.97e-02    8.80e-02    9.5e-04
   7600      2.72e+00    2.78e+00      1.05e-02    9.05e-03      8.83e-02    9.01e-02    9.5e-04
   7700      2.74e+00    2.75e+00      7.58e-03    6.96e-03      8.89e-02    8.94e-02    9.5e-04
   7800      2.93e+00    2.69e+00      1.09e-03    1.83e-04      9.50e-02    8.73e-02    9.5e-04
   7900      3.15e+00    2.99e+00      1.46e-02    1.36e-02      1.02e-01    9.71e-02    9.5e-04
   8000      2.75e+00    2.66e+00      3.63e-02    3.57e-02      8.91e-02    8.63e-02    9.5e-04
   8100      2.75e+00    2.77e+00      1.01e-03    3.05e-04      8.93e-02    8.99e-02    9.5e-04
   8200      2.86e+00    2.85e+00      1.62e-02    1.55e-02      9.27e-02    9.23e-02    9.5e-04
   8300      2.82e+00    2.71e+00      1.38e-02    1.43e-02      9.14e-02    8.77e-02    9.5e-04
   8400      2.68e+00    2.65e+00      6.04e-03    6.23e-03      8.70e-02    8.58e-02    9.5e-04
   8500      2.60e+00    2.54e+00      3.42e-02    3.40e-02      8.44e-02    8.24e-02    9.5e-04
   8600      2.62e+00    2.50e+00      7.06e-03    6.58e-03      8.50e-02    8.12e-02    9.5e-04
   8700      2.72e+00    2.64e+00      7.48e-03    7.89e-03      8.82e-02    8.57e-02    9.5e-04
   8800      2.59e+00    2.44e+00      1.83e-02    1.89e-02      8.40e-02    7.93e-02    9.5e-04
   8900      2.75e+00    2.70e+00      3.25e-02    3.49e-02      8.92e-02    8.74e-02    9.5e-04
   9000      2.56e+00    2.75e+00      1.06e-01    1.06e-01      8.20e-02    8.84e-02    9.5e-04
   9100      3.32e+00    3.18e+00      3.33e-02    3.39e-02      1.08e-01    1.03e-01    9.5e-04
   9200      2.56e+00    2.29e+00      1.54e-02    1.43e-02      8.31e-02    7.42e-02    9.5e-04
   9300      2.71e+00    3.59e+00      2.78e-02    2.82e-02      8.78e-02    1.17e-01    9.5e-04
   9400      2.87e+00    2.60e+00      5.02e-02    4.98e-02      9.30e-02    8.43e-02    9.5e-04
   9500      2.96e+00    2.83e+00      4.43e-02    4.30e-02      9.60e-02    9.16e-02    9.5e-04
   9600      2.67e+00    2.64e+00      1.25e-02    1.20e-02      8.66e-02    8.58e-02    9.5e-04
   9700      2.47e+00    2.35e+00      2.39e-02    2.37e-02      8.02e-02    7.63e-02    9.5e-04
   9800      2.79e+00    2.80e+00      2.09e-02    2.12e-02      9.06e-02    9.08e-02    9.5e-04
   9900      2.42e+00    2.52e+00      1.71e-02    1.80e-02      7.86e-02    8.17e-02    9.5e-04
  10000      2.64e+00    2.67e+00      1.45e-03    2.25e-03      8.77e-02    8.89e-02    9.0e-04
  10100      2.50e+00    2.74e+00      5.78e-04    1.67e-03      8.31e-02    9.12e-02    9.0e-04
  10200      2.30e+00    2.21e+00      1.65e-02    1.74e-02      7.64e-02    7.35e-02    9.0e-04
  10300      2.46e+00    2.51e+00      1.29e-02    1.13e-02      8.19e-02    8.35e-02    9.0e-04
  10400      2.32e+00    2.32e+00      7.98e-03    7.75e-03      7.73e-02    7.74e-02    9.0e-04
  10500      2.23e+00    2.25e+00      6.40e-03    6.32e-03      7.41e-02    7.50e-02    9.0e-04
  10600      2.77e+00    2.68e+00      1.09e-02    1.04e-02      9.23e-02    8.92e-02    9.0e-04
  10700      2.35e+00    2.34e+00      1.47e-02    1.54e-02      7.83e-02    7.80e-02    9.0e-04
  10800      2.71e+00    2.66e+00      9.91e-03    1.14e-02      9.02e-02    8.87e-02    9.0e-04
  10900      2.30e+00    2.37e+00      2.67e-02    2.80e-02      7.65e-02    7.87e-02    9.0e-04
  11000      3.28e+00    3.13e+00      1.57e-02    1.70e-02      1.09e-01    1.04e-01    9.0e-04
  11100      3.06e+00    3.16e+00      5.97e-03    6.55e-03      1.02e-01    1.05e-01    9.0e-04
  11200      2.60e+00    2.53e+00      4.74e-02    4.81e-02      8.64e-02    8.39e-02    9.0e-04
  11300      2.30e+00    2.28e+00      3.94e-02    3.98e-02      7.64e-02    7.58e-02    9.0e-04
  11400      2.50e+00    2.52e+00      4.21e-02    4.21e-02      8.28e-02    8.36e-02    9.0e-04
  11500      2.35e+00    2.33e+00      1.19e-02    1.25e-02      7.82e-02    7.74e-02    9.0e-04
  11600      2.57e+00    2.33e+00      2.36e-02    2.35e-02      8.55e-02    7.74e-02    9.0e-04
  11700      2.37e+00    2.13e+00      2.93e-02    2.93e-02      7.88e-02    7.08e-02    9.0e-04
  11800      2.39e+00    2.46e+00      5.42e-03    6.99e-03      7.94e-02    8.18e-02    9.0e-04
  11900      2.42e+00    2.15e+00      1.43e-02    1.48e-02      8.04e-02    7.15e-02    9.0e-04
  12000      2.54e+00    2.43e+00      2.75e-02    2.79e-02      8.46e-02    8.09e-02    9.0e-04
  12100      2.28e+00    2.30e+00      1.23e-02    1.09e-02      7.59e-02    7.66e-02    9.0e-04
  12200      2.48e+00    2.45e+00      2.87e-02    2.88e-02      8.23e-02    8.13e-02    9.0e-04
  12300      2.18e+00    2.17e+00      3.66e-02    3.71e-02      7.24e-02    7.21e-02    9.0e-04
  12400      2.39e+00    2.06e+00      2.35e-02    2.42e-02      7.95e-02    6.86e-02    9.0e-04
  12500      2.24e+00    2.18e+00      4.00e-03    3.85e-03      7.45e-02    7.26e-02    9.0e-04
  12600      2.26e+00    2.15e+00      7.41e-03    8.92e-03      7.51e-02    7.15e-02    9.0e-04
  12700      2.40e+00    2.28e+00      3.23e-02    3.36e-02      7.96e-02    7.56e-02    9.0e-04
  12800      2.29e+00    2.26e+00      6.29e-03    5.94e-03      7.62e-02    7.51e-02    9.0e-04
  12900      2.20e+00    2.29e+00      1.09e-02    1.11e-02      7.33e-02    7.63e-02    9.0e-04
  13000      2.21e+00    1.88e+00      9.97e-03    9.17e-03      7.35e-02    6.25e-02    9.0e-04
  13100      2.42e+00    2.35e+00      1.11e-02    1.10e-02      8.06e-02    7.83e-02    9.0e-04
  13200      2.18e+00    2.04e+00      3.44e-02    3.35e-02      7.24e-02    6.76e-02    9.0e-04
  13300      2.35e+00    2.11e+00      5.39e-02    5.30e-02      7.76e-02    6.99e-02    9.0e-04
  13400      2.26e+00    2.41e+00      2.64e-03    2.28e-03      7.54e-02    8.02e-02    9.0e-04
  13500      2.33e+00    2.51e+00      2.28e-02    2.26e-02      7.74e-02    8.34e-02    9.0e-04
  13600      2.31e+00    2.09e+00      4.88e-02    4.73e-02      7.66e-02    6.93e-02    9.0e-04
  13700      2.23e+00    2.19e+00      1.93e-02    1.87e-02      7.40e-02    7.29e-02    9.0e-04
  13800      2.29e+00    2.18e+00      2.55e-02    2.59e-02      7.61e-02    7.23e-02    9.0e-04
  13900      2.38e+00    2.43e+00      1.46e-02    1.47e-02      7.90e-02    8.09e-02    9.0e-04
  14000      2.74e+00    2.59e+00      3.62e-02    3.62e-02      9.11e-02    8.59e-02    9.0e-04
  14100      2.14e+00    2.05e+00      1.64e-02    1.62e-02      7.13e-02    6.83e-02    9.0e-04
  14200      2.51e+00    2.41e+00      1.01e-02    1.08e-02      8.37e-02    8.03e-02    9.0e-04
  14300      2.44e+00    2.26e+00      4.95e-03    5.05e-03      8.11e-02    7.54e-02    9.0e-04
  14400      2.43e+00    2.31e+00      1.62e-02    1.61e-02      8.07e-02    7.67e-02    9.0e-04
  14500      2.49e+00    2.35e+00      3.20e-02    3.15e-02      8.29e-02    7.82e-02    9.0e-04
  14600      2.23e+00    2.22e+00      1.14e-02    1.24e-02      7.42e-02    7.39e-02    9.0e-04
  14700      2.13e+00    2.44e+00      5.21e-03    4.50e-03      7.10e-02    8.13e-02    9.0e-04
  14800      2.16e+00    2.19e+00      2.11e-02    2.09e-02      7.17e-02    7.29e-02    9.0e-04
  14900      2.24e+00    2.17e+00      8.01e-03    7.40e-03      7.47e-02    7.21e-02    9.0e-04
  15000      2.12e+00    1.97e+00      1.34e-02    1.43e-02      7.24e-02    6.71e-02    8.6e-04
  15100      2.09e+00    2.12e+00      1.57e-02    1.62e-02      7.14e-02    7.24e-02    8.6e-04
  15200      2.12e+00    2.34e+00      8.15e-03    8.32e-03      7.22e-02    7.98e-02    8.6e-04
  15300      2.02e+00    2.13e+00      1.21e-02    1.22e-02      6.90e-02    7.28e-02    8.6e-04
  15400      2.08e+00    2.16e+00      1.77e-02    1.86e-02      7.09e-02    7.37e-02    8.6e-04
  15500      2.02e+00    2.06e+00      2.15e-03    1.48e-03      6.91e-02    7.05e-02    8.6e-04
  15600      2.17e+00    2.28e+00      1.99e-02    1.94e-02      7.40e-02    7.77e-02    8.6e-04
  15700      2.02e+00    1.92e+00      2.56e-02    2.62e-02      6.88e-02    6.55e-02    8.6e-04
  15800      2.67e+00    2.49e+00      1.15e-02    1.16e-02      9.11e-02    8.52e-02    8.6e-04
  15900      2.10e+00    2.01e+00      9.66e-03    9.19e-03      7.16e-02    6.85e-02    8.6e-04
  16000      1.98e+00    1.93e+00      1.91e-02    1.89e-02      6.74e-02    6.57e-02    8.6e-04
  16100      2.10e+00    1.92e+00      3.49e-02    3.48e-02      7.13e-02    6.53e-02    8.6e-04
  16200      1.99e+00    2.07e+00      2.50e-02    2.49e-02      6.78e-02    7.06e-02    8.6e-04
  16300      2.11e+00    1.88e+00      2.37e-02    2.52e-02      7.19e-02    6.42e-02    8.6e-04
  16400      2.08e+00    2.13e+00      2.47e-03    1.88e-03      7.12e-02    7.29e-02    8.6e-04
  16500      2.10e+00    2.02e+00      3.55e-03    3.63e-03      7.17e-02    6.91e-02    8.6e-04
  16600      2.05e+00    2.01e+00      4.94e-03    5.31e-03      7.01e-02    6.87e-02    8.6e-04
  16700      2.34e+00    2.23e+00      2.46e-02    2.47e-02      7.96e-02    7.60e-02    8.6e-04
  16800      2.00e+00    1.89e+00      1.74e-02    1.68e-02      6.82e-02    6.45e-02    8.6e-04
  16900      2.03e+00    1.99e+00      2.13e-02    2.16e-02      6.91e-02    6.77e-02    8.6e-04
  17000      1.97e+00    1.80e+00      7.04e-03    6.90e-03      6.73e-02    6.13e-02    8.6e-04
  17100      2.00e+00    2.06e+00      2.57e-03    3.81e-03      6.81e-02    7.04e-02    8.6e-04
  17200      1.99e+00    2.07e+00      6.32e-03    5.95e-03      6.78e-02    7.05e-02    8.6e-04
  17300      1.99e+00    1.99e+00      1.42e-02    1.30e-02      6.80e-02    6.79e-02    8.6e-04
  17400      2.07e+00    2.10e+00      3.48e-03    3.89e-03      7.07e-02    7.17e-02    8.6e-04
  17500      2.52e+00    2.39e+00      1.90e-02    1.84e-02      8.61e-02    8.15e-02    8.6e-04
  17600      2.15e+00    1.90e+00      2.18e-02    2.12e-02      7.33e-02    6.48e-02    8.6e-04
  17700      2.02e+00    1.89e+00      1.63e-02    1.60e-02      6.89e-02    6.46e-02    8.6e-04
  17800      2.03e+00    1.92e+00      1.79e-02    1.74e-02      6.91e-02    6.56e-02    8.6e-04
  17900      1.94e+00    1.79e+00      7.48e-03    7.17e-03      6.61e-02    6.10e-02    8.6e-04
  18000      2.03e+00    1.99e+00      5.69e-04    1.53e-04      6.92e-02    6.80e-02    8.6e-04
  18100      2.02e+00    2.00e+00      7.43e-03    6.62e-03      6.91e-02    6.83e-02    8.6e-04
  18200      1.95e+00    1.93e+00      3.56e-03    4.32e-03      6.67e-02    6.58e-02    8.6e-04
  18300      2.32e+00    2.63e+00      5.30e-02    5.25e-02      7.86e-02    8.93e-02    8.6e-04
  18400      2.18e+00    2.06e+00      2.04e-02    1.99e-02      7.43e-02    7.01e-02    8.6e-04
  18500      1.94e+00    1.69e+00      1.24e-02    1.33e-02      6.61e-02    5.76e-02    8.6e-04
  18600      1.97e+00    1.78e+00      1.05e-02    1.02e-02      6.71e-02    6.08e-02    8.6e-04
  18700      2.07e+00    2.06e+00      3.19e-03    2.48e-03      7.06e-02    7.04e-02    8.6e-04
  18800      1.92e+00    1.82e+00      1.90e-02    1.95e-02      6.54e-02    6.21e-02    8.6e-04
  18900      2.47e+00    2.38e+00      2.42e-02    2.51e-02      8.44e-02    8.12e-02    8.6e-04
  19000      1.98e+00    1.84e+00      6.88e-04    7.22e-04      6.77e-02    6.30e-02    8.6e-04
  19100      1.99e+00    1.88e+00      1.73e-02    1.69e-02      6.78e-02    6.42e-02    8.6e-04
  19200      2.20e+00    2.12e+00      4.75e-02    4.74e-02      7.46e-02    7.18e-02    8.6e-04
  19300      1.88e+00    1.85e+00      6.65e-03    6.95e-03      6.41e-02    6.30e-02    8.6e-04
  19400      2.01e+00    2.03e+00      2.14e-02    2.20e-02      6.84e-02    6.90e-02    8.6e-04
  19500      2.70e+00    2.55e+00      1.90e-02    1.94e-02      9.20e-02    8.69e-02    8.6e-04
  19600      1.99e+00    1.90e+00      9.67e-03    1.03e-02      6.79e-02    6.48e-02    8.6e-04
  19700      1.93e+00    1.72e+00      7.88e-03    9.11e-03      6.59e-02    5.88e-02    8.6e-04
  19800      1.95e+00    1.83e+00      4.55e-02    4.49e-02      6.61e-02    6.19e-02    8.6e-04
  19900      2.00e+00    2.02e+00      4.72e-03    5.20e-03      6.82e-02    6.91e-02    8.6e-04
  20000      1.93e+00    1.75e+00      2.76e-03    2.18e-03      6.75e-02    6.12e-02    8.1e-04
  20100      1.80e+00    1.76e+00      1.35e-02    1.31e-02      6.29e-02    6.17e-02    8.1e-04
  20200      1.92e+00    1.92e+00      8.62e-03    8.81e-03      6.72e-02    6.71e-02    8.1e-04
  20300      1.83e+00    1.86e+00      1.81e-02    1.83e-02      6.41e-02    6.51e-02    8.1e-04
  20400      1.90e+00    1.95e+00      3.27e-03    3.73e-03      6.65e-02    6.82e-02    8.1e-04
  20500      1.97e+00    1.97e+00      1.36e-02    1.44e-02      6.89e-02    6.89e-02    8.1e-04
  20600      1.99e+00    1.93e+00      3.28e-02    3.19e-02      6.94e-02    6.74e-02    8.1e-04
  20700      2.07e+00    2.04e+00      2.26e-02    2.43e-02      7.25e-02    7.14e-02    8.1e-04
  20800      1.89e+00    1.86e+00      1.63e-02    1.56e-02      6.61e-02    6.52e-02    8.1e-04
  20900      1.81e+00    1.74e+00      4.84e-03    3.74e-03      6.33e-02    6.09e-02    8.1e-04
  21000      1.83e+00    1.80e+00      1.60e-02    1.62e-02      6.41e-02    6.30e-02    8.1e-04
  21100      1.78e+00    1.66e+00      5.34e-03    5.51e-03      6.24e-02    5.82e-02    8.1e-04
  21200      1.84e+00    1.83e+00      3.63e-02    3.69e-02      6.41e-02    6.36e-02    8.1e-04
  21300      1.90e+00    1.77e+00      1.29e-02    1.21e-02      6.65e-02    6.20e-02    8.1e-04
  21400      1.86e+00    1.72e+00      1.07e-02    1.06e-02      6.52e-02    6.02e-02    8.1e-04
  21500      2.24e+00    2.09e+00      2.51e-02    2.55e-02      7.82e-02    7.32e-02    8.1e-04
  21600      1.85e+00    1.67e+00      1.05e-02    1.11e-02      6.47e-02    5.86e-02    8.1e-04
  21700      1.78e+00    1.86e+00      5.95e-04    1.63e-04      6.25e-02    6.52e-02    8.1e-04
  21800      1.81e+00    1.78e+00      1.08e-03    5.59e-04      6.36e-02    6.24e-02    8.1e-04
  21900      1.84e+00    1.84e+00      4.57e-03    3.72e-03      6.44e-02    6.43e-02    8.1e-04
  22000      1.93e+00    1.81e+00      1.65e-02    1.63e-02      6.74e-02    6.33e-02    8.1e-04
  22100      1.83e+00    1.75e+00      1.29e-02    1.28e-02      6.40e-02    6.13e-02    8.1e-04
  22200      1.91e+00    1.92e+00      5.31e-02    5.35e-02      6.59e-02    6.62e-02    8.1e-04
  22300      1.79e+00    1.62e+00      2.77e-03    2.58e-03      6.27e-02    5.69e-02    8.1e-04
  22400      1.86e+00    1.84e+00      2.09e-02    2.16e-02      6.52e-02    6.43e-02    8.1e-04
  22500      1.87e+00    1.83e+00      4.70e-03    5.43e-03      6.56e-02    6.43e-02    8.1e-04
  22600      1.95e+00    2.04e+00      6.54e-03    5.45e-03      6.82e-02    7.15e-02    8.1e-04
  22700      1.87e+00    1.85e+00      3.42e-03    3.59e-03      6.55e-02    6.49e-02    8.1e-04
  22800      1.85e+00    1.71e+00      7.64e-03    9.34e-03      6.50e-02    5.99e-02    8.1e-04
  22900      2.10e+00    2.01e+00      3.34e-03    3.27e-03      7.35e-02    7.05e-02    8.1e-04
  23000      1.92e+00    1.91e+00      9.74e-03    9.70e-03      6.74e-02    6.69e-02    8.1e-04
  23100      1.95e+00    1.90e+00      3.14e-02    3.08e-02      6.79e-02    6.62e-02    8.1e-04
  23200      1.83e+00    1.76e+00      2.00e-02    2.07e-02      6.41e-02    6.13e-02    8.1e-04
  23300      1.82e+00    1.69e+00      7.42e-03    7.16e-03      6.39e-02    5.91e-02    8.1e-04
  23400      2.02e+00    1.93e+00      2.34e-02    2.33e-02      7.04e-02    6.75e-02    8.1e-04
  23500      1.98e+00    2.00e+00      2.32e-03    1.93e-03      6.93e-02    6.99e-02    8.1e-04
  23600      1.91e+00    1.93e+00      1.48e-02    1.45e-02      6.70e-02    6.75e-02    8.1e-04
  23700      1.89e+00    1.74e+00      1.81e-02    1.87e-02      6.61e-02    6.08e-02    8.1e-04
  23800      1.96e+00    1.82e+00      6.48e-03    7.69e-03      6.87e-02    6.36e-02    8.1e-04
